Reporting Area,MMWR Year,MMWR Week,Salmonella Paratyphi infection Current week,Salmonella Paratyphi infection Previous 52 weeks,Salmonella Paratyphi infection 2021,Salmonella Paratyphi infection 2020,Salmonella Typhi infection Current week,Salmonella Typhi infection Previous 52 weeks,Salmonella Typhi infection 2021,Salmonella Typhi infection 2020,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Current week,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) Previous 52 weeks,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2021,Salmonellosis (excluding Salmonella Typhi infection and Salmonella Paratyphi infection) 2020,Location 1,Location 2,Reporting Area Sort,Geocode Latitude,Geocode Longitude
NEW ENGLAND,2021,1,,3,,1,,1,,1,10,62,10,26,,NEW ENGLAND,20210102,,
MAINE,2021,1,,0,,,,0,,,1,10,1,1,MAINE,,20210104,-69.06137,45.117911
MASSACHUSETTS,2021,1,,2,,,,1,,1,8,31,8,16,MASSACHUSETTS,,20210105,-71.481104,42.151077
NEW HAMPSHIRE,2021,1,,0,,,,0,,,,9,,1,NEW HAMPSHIRE,,20210106,-71.57139,43.680429
RHODE ISLAND,2021,1,,0,,,,0,,,,10,,,RHODE ISLAND,,20210107,-71.534637,41.572574
NEW YORK,2021,1,,2,,,,1,,,2,49,2,,NEW YORK,,20210111,-75.59655,42.921241
NEW YORK CITY,2021,1,,1,,,,3,,,4,43,4,16,,NEW YORK CITY,20210112,,
PENNSYLVANIA,2021,1,,1,,,,2,,,2,49,2,17,PENNSYLVANIA,,20210113,-77.838886,40.896694
EAST NORTH CENTRAL,2021,1,,2,,,,1,,1,7,165,7,61,,EAST NORTH CENTRAL,20210114,,
ILLINOIS,2021,1,,2,,,,1,,,,67,,23,ILLINOIS,,20210115,-89.148632,40.124144
INDIANA,2021,1,,0,,,,0,,1,1,27,1,12,INDIANA,,20210116,-86.2818,39.919991
OHIO,2021,1,,0,,,,1,,,,48,,13,OHIO,,20210118,-82.70936,40.415534
WISCONSIN,2021,1,,1,,,,1,,,6,33,6,13,WISCONSIN,,20210119,-89.732969,44.639954
